,0
0,0.0011593501695801
1,0.0024682354980173
2,0.0095813532831104
3,0.0190998283573298
4,0.0003016735108964
5,0.0009114406071813
6,0.0013288416521805
7,0.0030680556316725
8,0.0022944959680434
9,0.00184121668403
10,0.0008539166048343
11,0.0011590707972506
12,0.1250161782753488
13,0.0003169495178469
14,0.0070359868605181
15,0.0008553008095337
16,0.0005549108135889
17,0.0005661398181449
18,0.0010438949561757
19,0.0008997256801285
20,0.0123302580333871
21,0.000174790025923
22,0.0512800906612453
23,0.0247663170836106
24,0.0004426818795952
25,0.0348953044027483
26,0.0017616640536164
27,0.0003527458518692
28,0.0017175461274337
29,0.1304376005665836
30,8.972048911952279e-05
31,0.003562432594011
32,0.0011631652046346
33,0.0013002346243856
34,0.0091586559725342
35,0.0003074789325532
36,0.0080366381887518
37,0.02454353565333
38,0.0048890347836804
39,0.0023762057924678
40,0.0066726499240258
41,0.0026103842669174
42,0.0535713634775558
43,0.000784940775912
44,0.0521052596014956
45,0.0002343173039119
46,0.0008105707514792
47,0.0932383009817964
48,0.0198138732451137
49,0.0003874609721827
50,0.0011049770426176
51,0.0017187443355318
52,0.0128460371309807
53,0.0033765686882023
54,0.0008677388084533
55,0.0006397511521005
56,0.0255088506663368
57,0.0007221914136483
58,0.0404106469740747
59,0.0005391855623531
60,0.0002732392978541
61,0.0006189567964814
62,0.1380635713364012
63,0.3427483601036677
64,0.0004183776419151
65,0.0003967968575247
66,0.108867385603433
67,0.0014163287009619
68,0.0009114718038692
69,0.0014317585458249
70,0.3739512810686341
71,0.0056288196511263
72,0.0207131657514263
73,0.0009862149501607
74,0.0015833578790848
75,0.001517466390571
76,0.0009894033399379
77,0.0024122782593051
78,0.0696876842539888
79,0.0002647071057559
80,0.0004910702066691
81,0.0148230833381609
82,0.0001194315700494
83,0.0005079432695725
84,0.002771261749794
85,0.0011179618965768
86,0.4694232777143153
87,0.0003971621245469
88,0.0009142065795737
89,0.0407159317008947
90,0.0143385939581647
91,0.0030425937257219
92,0.0001727805296883
93,0.0007583329885638
94,0.0058350785037617
95,0.0052706336631513
96,0.0004785796003183
97,0.0009710658931071
98,0.0027859104513287
99,0.1382261085316192
100,0.0049761302914836
101,0.0023711971918806
102,0.0028208528664043
103,0.3860228072004659
104,0.0012390477528246
105,0.000380763499854
106,0.006770058642227
107,0.0005798088923471
108,0.0067384729737133
109,0.1121893295225505
110,0.0001373833254927
111,0.2049124563375857
112,0.0003610471166496
113,0.0015211298503436
114,0.0033301263148508
115,0.0040748471315657
116,0.0004788760134129
117,0.0001852305916469
118,0.0012812179109712
119,0.0004980962284949
120,0.0010211882450719
121,0.0176053029583863
122,0.0149226953297355
123,0.0466373843740825
124,0.0007329275571433
125,0.0006189540804555
126,0.0112919942507276
127,0.0206031936358488
128,0.0008607396225801
129,0.0002655124454011
130,0.0017003488847517
131,0.0005299551549836
132,0.0010301145852635
133,0.0002998448241526
134,0.0295372004109954
135,0.0400318182175558
136,0.0007659545047122
137,0.0261532948491835
138,0.005668894239361
139,0.0090564954728433
140,0.0012017704991032
141,0.0009625439450725
142,0.0137023536055999
143,0.0070805196064158
144,0.0001056939561484
145,0.000422720848561
146,0.0081190809892745
147,0.0007043915954809
148,0.0043712556549299
149,0.0292100013646794
150,0.0014008978076102
151,0.0004913400797561
152,0.0001224207817523
